Id,SalePrice
1461,136165.9507
1462,189758.4533
1463,168011.1449
1464,195134.096
1465,225537.4244
1466,183089.2283
1467,185347.7009
1468,166033.86
1469,205252.803
1470,101767.1974
1471,215176.9947
1472,129306.1108
1473,101516.3515
1474,164295.0565
1475,148944.5224
1476,326243.4259
1477,267430.5496
1478,293555.5616
1479,276961.568
1480,380482.8225
1481,295265.8966
1482,236619.0059
1483,183640.7976
1484,181498.7117
1485,183874.2908
1486,211908.3917
1487,317073.2725
1488,266040.1049
1489,198653.3162
1490,183435.8375
1491,203961.817
1492,121355.3629
1493,198095.0902
1494,288476.673
1495,281393.0606
1496,221382.1853
1497,199878.6341
1498,167580.5661
1499,167190.5426
1500,143617.5659
1501,157370.5127
1502,170211.2879
1503,270418.2797
1504,258489.2588
1505,223630.062
1506,217530.5775
1507,237613.2348
1508,216585.551
1509,165727.2784
1510,139759.4672
1511,139113.1329
1512,160197.0084
1513,178087.9623
1514,158652.3437
1515,183801.2811
1516,169852.2889
1517,166958.2513
1518,170641.3563
1519,223189.7678
1520,132183.2162
1521,138246.0055
1522,177233.9124
1523,95640.6639
1524,114613.9168
1525,112916.4788
1526,113383.9172
1527,95948.37909
1528,158227.5357
1529,143515.5466
1530,200110.0145
1531,113616.8498
1532,92536.16011
1533,148647.9658
1534,139981.954
1535,139003.5858
1536,124235.686
1537,48701.63386
1538,212311.6857
1539,241472.0715
1540,145569.2676
1541,169368.5667
1542,140159.2794
1543,220169.248
1544,70198.08377
1545,128697.2719
1546,148340.7563
1547,123224.0245
1548,157926.2774
1549,130757.6046
1550,141884.6353
1551,142334.6344
1552,146002.0587
1553,156293.752
1554,133222.3291
1555,168978.0685
1556,118198.4378
1557,119921.9837
1558,128234.1399
1559,109066.3684
1560,146543.8347
1561,130119.0896
1562,110845.7709
1563,111638.8326
1564,161168.9677
1565,143086.581
1566,251392.4382
1567,80085.31891
1568,221831.503
1569,103172.26
1570,143036.4449
1571,99391.43605
1572,138777.2971
1573,226782.4443
1574,153767.5682
1575,207018.1953
1576,238153.4035
1577,194592.4853
1578,170452.9271
1579,127609.3491
1580,209871.1857
1581,141249.0718
1582,113939.8673
1583,293152.628
1584,241235.3652
1585,137617.3445
1586,18480.82795
1587,100085.5953
1588,148909.8629
1589,97829.11511
1590,143950.4937
1591,68142.19268
1592,124080.8433
1593,133351.8737
1594,113582.9812
1595,122877.3495
1596,235392.2347
1597,177003.836
1598,200004.9513
1599,217401.1078
1600,224725.2453
1601,-536.8191215
1602,150582.6804
1603,81351.79016
1604,254638.205
1605,252868.0523
1606,181700.3368
1607,244274.335
1608,220992.2944
1609,190397.4946
1610,125507.8542
1611,142088.2489
1612,160706.0354
1613,172526.4574
1614,110442.0185
1615,67944.94112
1616,60050.85295
1617,75307.42349
1618,106188.0576
1619,132281.4616
1620,203097.644
1621,131392.3206
1622,150161.1774
1623,255609.1707
1624,201526.7194
1625,152699.569
1626,184234.9036
1627,191525.168
1628,275676.6657
1629,179855.7882
1630,313714.1785
1631,245075.977
1632,257628.6655
1633,187799.6373
1634,170358.2377
1635,167073.0489
1636,157163.1931
1637,171541.8746
1638,234512.7689
1639,199000.776
1640,260296.1785
1641,182465.061
1642,212309.9117
1643,241128.1583
1644,244718.776
1645,174607.6791
1646,159266.9799
1647,199225.2786
1648,143596.1676
1649,127419.8783
1650,101249.0673
1651,101982.4667
1652,118112.8667
1653,119393.6261
1654,164147.7547
1655,170970.0789
1656,157293.5952
1657,164180.3051
1658,163285.6118
1659,156922.1311
1660,134845.2037
1661,340925.7879
1662,325885.2122
1663,324846.0873
1664,393801.6509
1665,306898.7889
1666,293416.4889
1667,252808.7441
1668,314486.8018
1669,288257.0597
1670,317145.2662
1671,248585.4207
1672,356748.7947
1673,288352.6977
1674,279092.0308
1675,188453.0071
1676,190448.2049
1677,215292.0793
1678,396854.6913
1679,312230.7189
1680,310202.6231
1681,263799.9709
1682,271999.1367
1683,203524.6097
1684,185390.0375
1685,167621.5261
1686,184464.3666
1687,181627.1508
1688,207011.5515
1689,213392.7684
1690,192622.2547
1691,187508.1354
1692,256789.3601
1693,177731.2574
1694,168279.4813
1695,169807.5607
1696,267308.1897
1697,179502.083
1698,310662.4111
1699,305115.0881
1700,240282.901
1701,279542.551
1702,287244.3415
1703,261659.0144
1704,266215.9298
1705,249378.2102
1706,344970.3535
1707,214062.4959
1708,216484.1037
1709,306207.563
